InsertDate,M_Year,Months,MonthID,BoxOffice,ServicePrice,ShowCount,AudienceCount,BoxOfficeMoM
2010-01,2010,1,49,1180908031.31,,538679,28236909,57.52
2010-02,2010,2,50,1007202976.7,,610493,26881128,-14.71
2010-03,2010,3,51,554458525.82,,597063,15626298,-44.95
2010-04,2010,4,52,624522149.88,,598992,16952950,12.64
2010-05,2010,5,53,601703754.48,,636127,17597718,-3.65
2010-06,2010,6,54,495444176.18,,643879,15268257,-17.66
2010-07,2010,7,55,856049739.72,,731639,25099465,72.78
2010-08,2010,8,56,916025768.1,,769503,27158969,7.01
2010-09,2010,9,57,773573904.92,,690153,23414322,-15.55
2010-10,2010,10,58,676592092.21,,759370,20701671,-12.54
2010-11,2010,11,59,546789461.97,,726657,16827553,-19.18
2010-12,2010,12,60,1246324492.89,,821385,34647423,127.93
2011-01,2011,1,61,966303829.3,,890332,26328513,-22.47
2011-02,2011,2,62,986957597.93,,938086,27867809,2.14
2011-03,2011,3,63,543682667.82,,912765,17255724,-44.91
2011-04,2011,4,64,661233210.24,,943647,19776689,21.62
2011-05,2011,5,65,1063832741.09,,994060,30330001,60.89
2011-06,2011,6,66,1147707553.06,,1060680,32507154,7.88
2011-07,2011,7,67,1459036134.87,,1145613,39874678,27.13
2011-08,2011,8,68,1471561847.46,,1223372,40448433,0.86
2011-09,2011,9,69,625819409.24,,998481,17754403,-57.47
2011-10,2011,10,70,659166438.62,,1116028,20274353,5.33
2011-11,2011,11,71,945493124.38,,1177535,29257658,43.44
2011-12,2011,12,72,1315982630.97,,1290964,34056146,39.18
2012-01,2012,1,73,1478782708.09,,1540636,43048157,12.37
2012-02,2012,2,74,1321282274.63,,1484084,36812534,-10.65
2012-03,2012,3,75,882147885.7,,1530743,25508163,-33.24
2012-04,2012,4,76,1608620751.02,,1473060,41205084,82.35
2012-05,2012,5,77,1208755096.66,,1542442,31320533,-24.86
2012-06,2012,6,78,1286653241.71,,1699211,35666312,6.44
2012-07,2012,7,79,1390260240.85,,1848730,39265030,8.05
2012-08,2012,8,80,1418651857.07,,1964406,41232920,2.04
2012-09,2012,9,81,1218615923.63,,1715707,33771326,-14.1
2012-10,2012,10,82,1097808227.22,,1993355,32391062,-9.91
2012-11,2012,11,83,1098409806.34,,1820613,31246587,0.05
2012-12,2012,12,84,2553426102.6,,1998097,71797033,132.47
2013-01,2013,1,85,1644141224.42,,2155868,48391440,-35.61
2013-02,2013,2,86,2134384224.97,,2063693,57728689,29.82
2013-03,2013,3,87,1396550242.54,,2257727,40118765,-34.57
2013-04,2013,4,88,1825491267.35,,2230925,53998689,30.71
2013-05,2013,5,89,2064780411.36,,2231886,57590332,13.11
2013-06,2013,6,90,1793220354.09,,2308261,50868834,-13.15
2013-07,2013,7,91,1800559192.66,,2498449,54298789,0.41
2013-08,2013,8,92,2261120752.22,,2607738,65114808,25.58
2013-09,2013,9,93,1269499797.33,,2448261,37150793,-43.86
2013-10,2013,10,94,1586300100.79,,2590731,44859147,24.95
2013-11,2013,11,95,1558075366.84,,2612551,44303916,-1.78
2013-12,2013,12,96,2139929203.1,,2714570,59822910,37.34
2014-01,2014,1,97,1891830191.89,,3065060,54761842,-11.59
2014-02,2014,2,98,3234666301.88,,2981909,90250272,70.98
2014-03,2014,3,99,1616911309.47,,3038280,46279063,-50.01
2014-04,2014,4,100,1805837054.72,,3050565,50966488,11.68
2014-05,2014,5,101,2222088336.48,,3182173,62962358,23.05
2014-06,2014,6,102,2824959969.98,,3084956,75969778,27.13
2014-07,2014,7,103,3642500771.0,,3392067,103415072,28.94
2014-08,2014,8,104,2622274661.33,,3814883,76296623,-28.01
2014-09,2014,9,105,1888477651.25,,3370356,57163361,-27.98
2014-10,2014,10,106,2765532993.22,,3703168,78435029,46.44
2014-11,2014,11,107,2326922372.01,,3521248,67016002,-15.86
2014-12,2014,12,108,2592942101.94,,3680315,70934174,11.43
2015-01,2015,1,109,2609392527.84,,3955958,73561668,0.63
2015-02,2015,2,110,4110034840.1,,3994799,110430095,57.51
2015-03,2015,3,111,2884388942.27,,4379615,82640339,-29.82
2015-04,2015,4,112,4107993314.38,,4164688,113251209,42.42
2015-05,2015,5,113,3180818912.89,,4275240,85932948,-22.57
2015-06,2015,6,114,3355415361.56,,4338876,91551989,5.49
2015-07,2015,7,115,5506114713.3,,4882422,159670148,64.1
2015-08,2015,8,116,3617612940.17,,4948979,104413120,-34.3
2015-09,2015,9,117,3432338247.77,,4609415,101919058,-5.12
2015-10,2015,10,118,4212239567.36,,5166509,127115660,22.72
2015-11,2015,11,119,2661735148.35,,4612070,82584450,-36.81
2015-12,2015,12,120,4202641734.37,,5085756,127831102,57.89
2016-01,2016,1,121,3852923614.71,,5376327,116750768,-8.32
2016-02,2016,2,122,6886825608.41,,5974992,193038250,78.74
2016-03,2016,3,123,3728538055.06,,5735202,109150049,-45.86
2016-04,2016,4,124,3111019832.19,,5990200,97066023,-16.56
2016-05,2016,5,125,3139587919.85,,5764515,95460851,0.92
2016-06,2016,6,126,3866580318.26,,5759549,111683304,23.16
2016-07,2016,7,127,4513699980.2,,6737778,136198495,16.74
2016-08,2016,8,128,4056181957.21,,6865119,125761013,-10.14
2016-09,2016,9,129,2299105518.9,,6604178,72724498,-43.32
2016-10,2016,10,130,3420451129.49,,6747457,110244227,48.77
2016-11,2016,11,131,2546132582.12,,6333509,78575662,-25.56
2016-12,2016,12,132,4100211583.72,,6903974,127010253,61.04
2017-01,2017,1,133,4626647323.73,278675717.34,7375831,136758839,12.84
2017-02,2017,2,134,5793140201.66,392243829.72,7592960,172272384,25.21
